"id","name","model","ip","state","location"
"1","Sal_Controlad_WAP_05","AIR-CAP3702I-A-K9","10.224.4.39","Registered","5 Piso Concentradora"
"2","Ed.ABC_Predictivo_WAP_01","AIR-CAP3702I-A-K9","10.224.4.46","Registered","Edificio Predectivo - ABC"
"3","Ed_Mant_Santos_WAP01","AIR-CAP3702I-A-K9","10.230.5.13","Registered","Edificio Movitrans - M.Santos"
"4","Ed_DEO_WAP_01","AIR-CAP3702I-A-K9","10.224.6.245","Registered","default location"
"5","Ed_Operacione_WAP_03","AIR-CAP3702I-A-K9","10.224.8.12","Registered","Sector RRHH Ed. Operaciones"
"6","Ed.Conce-4P-G.Concentradora","AIR-CAP3702I-A-K9","10.224.4.188","Registered","4 Piso Concentradora"
"7","Dique_Mina-WAP01","AIR-CAP3702I-A-K9","10.224.4.147","Registered","default location"
"8","TSF_WAP03","AIR-AP2802I-A-K9","10.224.4.20","Registered","Container TSF AMEC"
"9","Ed.Dispatch-Wap01","AIR-AP2802I-A-K9","10.224.7.142","Registered","Sala TICA Dispatch operaciones"
"10","Ed_Servicios_WAP_02","AIR-AP2802I-A-K9","10.224.5.131","Registered","Pac Servicio"
"11","Ed_SalaCambio-UG","AIR-AP2802I-A-K9","10.224.1.201","Registered","Sala Cambio UG"
"12","Ed_Servicios_WAP_03","AIR-AP2802I-A-K9","10.224.5.30","Registered","Sala Reuniones Potrerillos"
"13","Ed_Truck_Shop_WAP_01","AIR-AP2802I-A-K9","10.224.10.141","Registered","Ed_Truck_Shop_WAP_01"
"14","Ed.Santos_TICA_WAP01","AIR-AP2802I-A-K9","10.230.5.14","Registered","default location"
"15","Ed_Servicios_WAP_05","AIR-AP2802I-A-K9","10.224.6.14","Registered","Edificio Servicios Sala TICA"
"16","Ed_Admin2_WAP_05","AIR-AP2802I-A-K9","10.224.1.36","Registered","Cecom CCMC"
"17","AP-TallerGruas","AIR-AP2802I-A-K9","10.224.4.120","Registered","Taller de gruas"
"18","Ed.Confiabilidad-WAP01","AIR-AP2802I-A-K9","10.224.10.139","Registered","default location"
"19","Ed.Salacapac_Ojos_WAP01","AIR-AP2802I-A-K9","10.230.1.10","Registered","default location"
"20","AP-HeadEnd-CNorte","AIR-AP2802I-A-K9","10.224.25.17","Registered","default location"
"21","TELEC-Comunicaciones_WAP01","AIR-AP3802I-A-K9","10.224.0.32","Registered","Taller Electronico Com"
"22","AP_ConectaGlobal_01","AIR-AP1572EAC-A-K9","10.224.4.84","Registered","default location"
"23","MejoraContinua_WAP_01","AIR-AP2802I-B-K9","10.224.1.200","Registered","MejoraContinua"
"24","Edif_Geomecanico_Wap01","AIR-AP2802I-A-K9","10.230.1.20","Registered","default location"
"25","Nv370-ITO-Santos","AIR-AP2802I-A-K9","10.230.5.15","Registered","default location"
"26","Edif_OperPlanta_WAP01","AIR-AP2802I-A-K9","10.230.1.131","Registered","Edificio de Operaciones"
"27","Ed_SGenerales_PAC_Wap01","AIR-AP2802I-A-K9","10.230.1.13","Registered","Edificio Servicio Generales PAC - Sala TICA"
"28","LMC_Santiago_office_WAP03","AIR-AP2802I-A-K9","10.220.1.6","Registered","Sala Reuniones Secundaria"
"29","Taller_Electrico_Zublin_CNUG","AIR-AP2802I-A-K9","10.224.45.134","Registered","default location"
"30","AP_SE3215_EN-HIDRAULICO","AIR-AP2802I-A-K9","10.224.4.144","Registered","Enlace Hidraulico"
"31","LMC_Santiago_office_WAP02","AIR-AP2802I-A-K9","10.220.1.214","Registered","Sala Reuniones Principal"
"32","VCH_Garita_Norte_WAP1","C9124AXE-A","10.224.18.133","Registered","Villa-Chamonate"
"33","Flotacion_F1_Wap02","C9124AXE-A","10.224.4.82","Registered","Concentradora 3P"
"34","AP-DPRO-Torniquetes_NEW","C9124AXE-A","10.224.3.98","Registered","Ed.Conc-DPRO"
"35","AP-VRALUN-WAP01","C9124AXE-A","10.224.23.108","Registered","Villa Ralun"
"36","Testigoteca_Wap01","C9124AXE-A","10.224.4.73","Registered","Ed.Concentradora-Testgeo"
"37","Patio_Rack_Wap01","C9124AXE-A","10.224.10.28","Registered","Patio Truckshop"
"38","AP-GARITA-DPRO","C9124AXE-A","10.224.3.31","Registered","Ed.Conc-DPRO"
"39","VCH_Garita-WAP01","C9124AXE-A","10.224.18.7","Registered","Villa-Chamonate"
"40","Recep_Bodega_WAP01","C9124AXE-A","10.224.10.35","Registered","Truckshop-Bodega"
"41","Recep_Bodega_WAP02","C9124AXE-A","10.224.10.143","Registered","Truckshop-Bodega"
"42","Planta_Cal_WAP_01","C9124AXE-A","10.224.4.78","Registered","Concentradora-CAL"
"43","Desp_Bodega_Wap_01","C9124AXE-A","10.224.10.138","Registered","default location"
"44","Dpto_Legal_WAP_01","C9120AXI-A","10.224.16.133","Registered","Oficina Dpto Legal"
"45","Ed_Truck_Shop_WAP_02","C9120AXI-A","10.224.10.26","Registered","Ed. Truckshop"
"46","Expl_Aurex_WAP_01","C9120AXI-A","10.230.1.23","Registered","Exploraciones PAC"
"47","Inge_Aurex_WAP_01","C9120AXI-A","10.230.1.132","Registered","IngeMina PAC"
"48","LosDiques_WAP_03","C9120AXI-A","10.224.4.142","Registered","DPRO"
"49","Comunitaria-TA_WAP01","C9120AXI-A","10.230.7.12","Registered","Com. Tierra Amarilla"
"50","Metalurgia_5Piso-WAP04","C9120AXI-A","10.224.4.209","Registered","Ed. Metalurgica 5Piso"
"51","Mantt_Desal_Puerto_WAP_01","C9120AXI-A","10.224.12.19","Registered","Puerto Padrones"
"52","Ed_Admin1_WAP_03_2","C9120AXI-A","10.224.0.20","Registered","Sala Reuniones"
"53","220K-WAP_01","C9120AXI-A","10.224.4.146","Registered","Ed. Concentradora"
"54","Ed_Admin2_WAP_04","C9120AXI-A","10.224.1.142","Registered","Ed. Administracion"
"55","Ed_Operacione_WAP_02","AIR-AP2802I-A-K9","10.224.8.13","Registered","Ed_Operacione_WAP_02"
"56","APA093.Conc_3P_WAP1.EFA2","AIR-AP2802I-A-K9","10.224.3.135","Registered","default location"
"57","Ed.ABC_WAP02","AIR-AP2802I-A-K9","10.224.4.16","Registered","Sala TICA ABC"
"58","AP_NV305-VETA_WAP01","AIR-AP1562I-A-K9","10.224.25.21","Registered","CN-UG NV305"
"59","AP-SE-NV280","AIR-AP1562I-A-K9","10.224.24.110","Registered","Sala Electrica NV280"
"60","AP_NV305-VETA_WAP02","AIR-AP1562I-A-K9","10.224.25.22","Registered","CN-UG NV305"
"61","CN_DISPATCH_Bcivico-Sur_WAP01","AIR-AP1562I-A-K9","10.224.25.23","Registered","Barrio Civico"
"62","Ed.Conc-SAG2","AIR-AP2802I-A-K9","10.224.3.117","Registered","Ed.Conc-SAG2"
"63","Ed_Admin1_WAP_04","AIR-AP2802I-A-K9","10.224.1.5","Registered","Frente Gerente TICA"
"64","AP-SALA-CONTROL-UG","AIR-AP2802I-A-K9","10.224.5.155","Registered","Sala Control UG-TICA"
"65","Ed.Conc-SAG1","AIR-AP2802I-A-K9","10.224.4.158","Registered","Ed.Conc-SAG1"
"66","AP-TallerMeca-Concen","AIR-AP2802I-A-K9","10.224.4.250","Registered","Taller Mecanico"
"67","CHAM-AP-Casa17-2","AIR-AP2802I-A-K9","10.224.18.18","Registered","Casa 17"
"68","Ed_Truckshop_WAP6","AIR-AP2802I-A-K9","10.224.10.14","Registered","2do Piso Truckshop - Sala Reuniones"
"69","Ed_Truck_Shop_WAP_04","AIR-AP2802I-A-K9","10.224.10.8","Registered","Ed_Truck_Shop_WAP_04"
"70","Com_Copiapo","AIR-AP2802I-A-K9","10.224.21.10","Registered","Comunitario Copiapo"
"71","Ed_Operacione_WAP_01","AIR-AP2802I-A-K9","10.224.8.137","Registered","Ed_Operacione_WAP_01"
"72","Lab_Quimico_WAP_01","AIR-AP2802I-A-K9","10.224.5.142","Registered","Lab_Quimico_WAP_01"
"73","AP_Diagonal_Casino_Dumpers","AIR-AP2802I-A-K9","10.224.25.116","Registered","default location"
"74","Ed_Servicios_WAP_04","AIR-AP2802I-A-K9","10.224.5.136","Registered","Ofcina Geologia - Puesto Giovana Rivera"
"75","AP-CN-ESTOCADA2","AIR-AP2802I-A-K9","10.224.25.107","Registered","ESTOCADA2"
"76","Sal_Controlad_WAP_01","AIR-AP2802I-A-K9","10.224.4.54","Registered","Sal_Controlad_WAP_01"
"77","Taller_Neumaticos_Wap01","AIR-AP2802I-A-K9","10.224.4.40","Registered","Sector Taller Neumaticos  - Bailac"
"78","CHAM-WAP02","AIR-AP2802I-A-K9","10.224.18.17","Registered","Casa17"
"79","Sala_Cambio_Oper","AIR-AP3702I-UXK9","10.224.8.250","Registered","Sala_Cambio_Oper"
"80","Ed_Admin1_WAP_02","AIR-AP3702I-UXK9","10.224.1.31","Registered","Sala Reuniones G.General Adm1"
"81","AP_CN-175-Refugio","AIR-AP1562I-A-K9","10.224.25.24","Registered","Refugios-CNorte"
"82","AP_NV325_SUR_ENS_ILUMNINADO","AIR-AP1562I-A-K9","10.224.25.109","Registered","default location"
"83","CANOR_Bcivico_SUR_WAP1","AIR-AP1562I-A-K9","10.224.25.108","Registered","default location"
"84","Sal_Electrica_101","AIR-AP1572EAC-A-K9","10.224.4.124","Registered","Sala Electrica 101"
"85","AP-Puerto","AIR-AP1572EAC-A-K9","10.224.12.15","Registered","Puerto"
"86","Garita_397_WAP_01","AIR-AP1572EAC-A-K9","10.224.4.62","Registered","Garita 397 Candelaria Principal"
"87","AP-Reuniones-PPadrones","AIR-AP1572EAC-A-K9","10.224.12.16","Registered","Romana PPadrones"
"88","Sala_Electrica_Botadero","AIR-AP2802I-A-K9","10.230.3.136","Registered","default location"
"89","CANOR-Tmec_WAP1","AIR-AP2802I-A-K9","10.224.24.107","Registered","default location"
"90","Los_Diques_WAP04","AIR-AP2802I-A-K9","10.224.4.14","Registered","Los_Diques_WAP04"
"91","CANOR-NV416_SUSANA_WAP1","AIR-AP2802I-A-K9","10.224.24.12","Registered","default location"
"92","ContactoPC_WAP_01","AIR-AP2802I-A-K9","10.224.0.9","Registered","Ed. Admin Contacto PC"
"93","CAN_WAP-P_REP_2","AIR-AP2802I-A-K9","10.224.14.8","Registered","default location"
"94","ALC-UG-Headend_NV230","AIR-AP2802I-A-K9","10.230.3.14","Registered","ALC-UG-Headend_NV230"
"95","AP_Oficina_Mainsa_WAP01","AIR-AP2802I-A-K9","10.230.1.135","Registered","Oficina Mainsa PAC"
"96","CANOR_NV280_WAP1","AIR-AP1562I-A-K9","10.224.24.108","Registered","default location"
"97","CANOR_Telec_Zublin_WAP1","AIR-AP1562I-A-K9","10.224.25.13","Registered","default location"
