"id";"ubication";"device";"client";"last_mac";"current_mac";"note";"last_change_date";"status";"prtg_status";"prtg_id";"status_num_clients"
"1";"Camion 201";"Cisco AP";"10.117.115.201";"Not Found";"9cd5.7dd4.1e48";"No data";"2024-09-03 17:13:25";"ok";"Not Found";"0";"ok"
"2";"Camion 201";"Cisco RO";"10.117.116.201";"Not Found";"acbc.d944.f5e0";"No data";"2024-09-03 17:13:25";"N/A";"Not Found";"0";"N/A"
"3";"Camion 201";"Dispatch";"10.117.123.201";"Not Found";"0080.0701.12d8";"No data";"2024-09-03 17:13:25";"N/A";"Not Found";"0";"N/A"
"4";"Camion 201";"MEM";"10.117.122.201";"Not Found";"0013.952d.2d05";"No data";"2024-09-03 17:13:25";"N/A";"Not Found";"0";"N/A"
"5";"Camion 201";"UMAN";"10.117.126.201";"Not Found";"b827.eb36.755e";"No data";"2024-09-03 17:13:25";"N/A";"Not Found";"0";"N/A"
"6";"Camion 201";"VIMS";"10.117.124.201";"Not Found";"000a.750e.419f";"No data";"2024-09-03 17:13:25";"N/A";"Not Found";"0";"N/A"
"9";"Camion 202";"Cisco AP";"10.117.115.202";"Not Found";"f01d.2d55.dace";"No data";"2024-09-04 23:09:15";"ok";"Not Found";"0";"ok"
"10";"Camion 202";"Cisco RO";"10.117.116.202";"Not Found";"cc90.70c1.72c0";"No data";"2024-09-04 23:09:15";"N/A";"Not Found";"0";"N/A"
"11";"Camion 202";"Dispatch";"10.117.123.202";"Not Found";"0080.0701.1258";"No data";"2024-09-04 23:09:15";"N/A";"Not Found";"0";"N/A"
"12";"Camion 202";"MEM";"10.117.122.202";"Not Found";"0013.9533.a5c6";"No data";"2024-09-04 23:09:15";"N/A";"Not Found";"0";"N/A"
"13";"Camion 202";"UMAN";"10.117.126.202";"Not Found";"b827.ebbc.1e4d";"No data";"2024-09-04 23:09:15";"N/A";"Not Found";"0";"N/A"
"14";"Camion 202";"VIMS";"10.117.124.202";"Not Found";"000a.750e.4319";"No data";"2024-09-04 23:09:15";"N/A";"Not Found";"0";"N/A"
"17";"Camion 203";"Cisco AP";"10.117.115.203";"Not Found";"f01d.2d55.73be";"No data";"2024-08-29 11:35:53";"ok";"Not Found";"0";"ok"
"18";"Camion 203";"Cisco RO";"10.117.116.203";"Not Found";"5c3e.06ff.ec20";"No data";"2024-08-29 11:55:38";"N/A";"Not Found";"0";"N/A"
"19";"Camion 203";"Dispatch";"10.117.123.203";"Not Found";"0080.0701.1262";"No data";"2024-08-29 11:35:53";"N/A";"Not Found";"0";"N/A"
"20";"Camion 203";"MEM";"10.117.122.203";"Not Found";"0013.9533.be82";"No data";"2024-08-29 11:35:53";"N/A";"Not Found";"0";"N/A"
"21";"Camion 203";"UMAN";"10.117.126.203";"Not Found";"b827.eb34.f229";"No data";"2024-09-01 06:38:53";"N/A";"Not Found";"0";"N/A"
"22";"Camion 203";"VIMS";"10.117.124.203";"Not Found";"000a.750e.3813";"No data";"2024-08-29 11:35:53";"N/A";"Not Found";"0";"N/A"
"25";"Camion 204";"Cisco AP";"10.117.115.204";"9cd5.7dd5.70d2";"Not Found";"No data";"2024-08-27 15:56:56";"ok";"Not Found";"0";"ok"
"26";"Camion 204";"Cisco RO";"10.117.116.204";"4c42.1e50.e1e0";"Not Found";"No data";"2024-08-27 15:56:56";"N/A";"Not Found";"0";"N/A"
"27";"Camion 204";"Dispatch";"10.117.123.204";"0080.0701.80ef";"Not Found";"No data";"2024-09-03 11:39:12";"N/A";"Not Found";"0";"N/A"
"28";"Camion 204";"MEM";"10.117.122.204";"0090.fb70.3f6d";"Not Found";"No data";"2024-09-01 14:10:53";"N/A";"Not Found";"0";"N/A"
"29";"Camion 204";"UMAN";"10.117.126.204";"b827.eb0a.2232";"Not Found";"No data";"2024-08-27 15:56:56";"N/A";"Not Found";"0";"N/A"
"30";"Camion 204";"VIMS";"10.117.124.204";"000a.750e.37fd";"Not Found";"No data";"2024-08-27 15:56:56";"N/A";"Not Found";"0";"N/A"
"33";"Camion 205";"Cisco AP";"10.117.115.205";"Not Found";"00da.557c.1db0";"No data";"2024-08-31 12:09:36";"ok";"Not Found";"0";"ok"
"34";"Camion 205";"Cisco RO";"10.117.116.205";"Not Found";"00da.557c.1d90";"No data";"2024-08-31 12:09:36";"N/A";"Not Found";"0";"N/A"
"35";"Camion 205";"Dispatch";"10.117.123.205";"Not Found";"0080.0701.134a";"No data";"2024-08-31 12:09:36";"N/A";"Not Found";"0";"N/A"
"36";"Camion 205";"MEM";"10.117.122.205";"Not Found";"0013.9523.5a67";"No data";"2024-08-31 23:58:28";"N/A";"Not Found";"0";"N/A"
"37";"Camion 205";"UMAN";"10.117.126.205";"Not Found";"b827.eb16.d898";"No data";"2024-08-31 18:04:06";"N/A";"Not Found";"0";"N/A"
"38";"Camion 205";"VIMS";"10.117.124.205";"Not Found";"000a.750e.3804";"No data";"2024-08-31 12:09:36";"N/A";"Not Found";"0";"N/A"
"41";"Camion 206";"Cisco AP";"10.117.115.206";"Not Found";"9cd5.7dd5.5e5c";"No data";"2024-09-01 23:20:57";"ok";"Not Found";"0";"ok"
"42";"Camion 206";"Cisco RO";"10.117.116.206";"Not Found";"4c42.1e50.b620";"No data";"2024-09-01 23:20:57";"N/A";"Not Found";"0";"N/A"
"43";"Camion 206";"Dispatch";"10.117.123.206";"Not Found";"0080.0700.e640";"No data";"2024-08-28 05:43:30";"N/A";"Not Found";"0";"N/A"
"44";"Camion 206";"MEM";"10.117.122.206";"Not Found";"0013.952d.2d07";"No data";"2024-08-30 21:23:50";"N/A";"Not Found";"0";"N/A"
"45";"Camion 206";"UMAN";"10.117.126.206";"Not Found";"b827.eb2c.663a";"No data";"2024-08-30 18:46:12";"N/A";"Not Found";"0";"N/A"
"46";"Camion 206";"VIMS";"10.117.124.206";"Not Found";"000a.751b.b8ca";"No data";"2024-08-30 21:23:50";"N/A";"Not Found";"0";"N/A"
"49";"Camion 207";"Cisco AP";"10.117.115.207";"Not Found";"9cd5.7dd4.9e72";"No data";"2024-09-03 20:13:20";"ok";"Not Found";"0";"ok"
"50";"Camion 207";"Cisco RO";"10.117.116.207";"Not Found";"5cb1.2ec0.b700";"No data";"2024-08-30 17:07:53";"N/A";"Not Found";"0";"N/A"
"51";"Camion 207";"Dispatch";"10.117.123.207";"Not Found";"0080.0701.128a";"No data";"2024-08-30 17:07:53";"N/A";"Not Found";"0";"N/A"
"52";"Camion 207";"MEM";"10.117.122.207";"Not Found";"0013.9533.b530";"No data";"2024-08-30 17:07:53";"N/A";"Not Found";"0";"N/A"
"53";"Camion 207";"UMAN";"10.117.126.207";"Not Found";"b827.eb2d.d0ae";"No data";"2024-08-30 17:07:53";"N/A";"Not Found";"0";"N/A"
