21337,accqa.candelaria.cl,Certificados Candelaria,Up,18371,Ping,61 msec
21338,Certificado VPN Fortigate Conc,Certificados Candelaria,Up,15977,SSL Certificate,127 #
21339,Certificado VPN Fortigate Adm,Certificados Candelaria,Up,15975,SSL Certificate,129 #
21340,Certificado VPN Fortigate Ojos,Certificados Candelaria,Up,15979,SSL Certificate,135 #
21341,acc.candelaria.cl,Certificados Candelaria,Up,17890,SSL Certificate,151 #
21342,Certificado ISE01 - Admin Role,Certificados Candelaria,Up,15963,SSL Certificate,203 #
21343,Certificado ISE02 - Admin Role,Certificados Candelaria,Up,15967,SSL Certificate,203 #
21344,Certificado ISE03 - Admin Role,Certificados Candelaria,Up,15971,SSL Certificate,203 #
21345,Certificado CUCM - PUB,Certificados Candelaria,Up,15981,SSL Certificate,203 #
21346,Certificado Contact Center,Certificados Candelaria,Up,15983,SSL Certificate,203 #
21347,Certificado Expressway-C,Certificados Candelaria,Up,17331,SSL Certificate,203 #
21348,Certificado Expressway-E,Certificados Candelaria,Up,17333,SSL Certificate,203 #
21349,BeyondTrust - prachile.lundinmining.com,Certificados Candelaria,Up,15961,SSL Certificate,266 #
21350,prachile.lundinmining.com,Certificados Candelaria,Up,17422,SSL Certificate,266 #
21351,Certificado ISE01 - Guest Portal,Certificados Candelaria,Up,15965,SSL Certificate,312 #
21352,Certificado ISE02 - Guest Portal,Certificados Candelaria,Up,15969,SSL Certificate,312 #
21353,Certificado ISE03 - Guest Portal,Certificados Candelaria,Up,15973,SSL Certificate,312 #
21354,accqa.candelaria.cl,Certificados Candelaria,Up,17888,SSL Certificate,368 #
21355,ISE01,Servidores ISE y PRIME,Up,18018,Ping,0 msec
21356,ISE02,Servidores ISE y PRIME,Up,18026,Ping,0 msec
21357,ISE03,Servidores ISE y PRIME,Up,18041,Servicio Web,1 msec
21358,Cisco Prime IT,Servidores ISE y PRIME,Up,18043,Ping,0 msec
21359,Cisco Prime OT - Virtual IP,Servidores ISE y PRIME,Up,18045,Ping,0 msec
21360,Cisco Prime OT - Virtual IP,Servidores ISE y PRIME,Up,18051,Servicio Web,0 msec
21361,Cisco Prime OT - Admin,Servidores ISE y PRIME,Up,18047,Ping,0 msec
21362,Cisco Prime OT - Conce,Servidores ISE y PRIME,Up,18049,Ping,0 msec
21363,ISE03,Servidores ISE y PRIME,Up,18025,Ping,0 msec
21364,ISE01,Servidores ISE y PRIME,Up,18039,Servicio Web,1 msec
21365,Cisco Prime IT,Servidores ISE y PRIME,Up,18050,Servicio Web,0 msec
21366,ISE02,Servidores ISE y PRIME,Up,18040,Servicio Web,0 msec
21367,10.224.116.10 (CCUM-PUB),Telefonia IP,Up,8683,PING 61,0 msec
21368,10.224.116.11 (CCUM-SUB1),Telefonia IP,Up,8698,PING 62,0 msec
21369,10.224.116.75 (CCUM-SUB2),Telefonia IP,Up,8700,PING 63,0 msec
21370,10.224.116.80 (CUC-SUB),Telefonia IP,Up,17980,Ping,0 msec
21371,10.224.116.41 (UCCX01),Telefonia IP,Up,17985,Ping,0 msec
21372,VOICE-GW-CONCE,Telefonia IP,Up,17961,Ping,0 msec
21373,10.224.116.15 (CUC-PUB),Telefonia IP,Up,17965,Ping,0 msec
21374,VOICE-GW-ADMIN,Telefonia IP,Up,17959,Ping,0 msec
21375,10.224.116.10 (CCUM-PUB),Telefonia IP,Up,8689,Disk Free: /common,5 %
21376,10.224.116.11 (CCUM-SUB1),Telefonia IP,Up,17956,HTTP,87 msec
21377,10.224.116.10 (CCUM-PUB),Telefonia IP,Up,17955,HTTP,14 msec
21378,10.224.116.11 (CCUM-SUB1),Telefonia IP,Up,8710,Disk Free: /,9 %
21379,10.224.116.75 (CCUM-SUB2),Telefonia IP,Up,8720,Disk Free: /,9 %
21380,10.224.116.10 (CCUM-PUB),Telefonia IP,Up,8687,Disk Free: /,9 %
21381,10.224.116.75 (CCUM-SUB2),Telefonia IP,Up,17957,HTTP,10 msec
21382,10.224.116.41 (UCCX01),Telefonia IP,Up,17994,CPU Load,24 %
21383,10.224.116.41 (UCCX01),Telefonia IP,Up,17990,Disk Free: /,18 %
21384,10.224.116.15 (CUC-PUB),Telefonia IP,Up,17973,CPU Load,20 %
21385,10.224.116.41 (UCCX01),Telefonia IP,Up,17999,HTTP,16 msec
21386,10.224.116.41 (UCCX01),Telefonia IP,Up,17995,Memory: Physical RAM,24 %
21387,10.224.116.75 (CCUM-SUB2),Telefonia IP,Up,8725,Memory: Physical RAM,28 %
21388,10.224.116.15 (CUC-PUB),Telefonia IP,Up,17978,HTTPS,29 msec
21389,10.224.116.11 (CCUM-SUB1),Telefonia IP,Up,8715,Memory: Physical RAM,31 %
21390,10.224.116.10 (CCUM-PUB),Telefonia IP,Up,8692,Memory: Physical RAM,33 %
21391,10.224.116.80 (CUC-SUB),Telefonia IP,Up,17983,HTTPS,31 msec
21392,10.224.116.80 (CUC-SUB),Telefonia IP,Up,18010,CPU Load,36 %
21393,10.224.116.15 (CUC-PUB),Telefonia IP,Up,17974,Memory: Physical RAM,37 %
21394,10.224.116.15 (CUC-PUB),Telefonia IP,Up,17972,Disk Free: /common,39 %
21395,10.224.116.80 (CUC-SUB),Telefonia IP,Up,18008,Disk Free: /common,40 %
21396,10.224.116.10 (CCUM-PUB),Telefonia IP,Up,8691,CPU Load 31,41 %
21397,10.224.116.11 (CCUM-SUB1),Telefonia IP,Up,8714,CPU Load 32,64 %
21398,10.224.116.41 (UCCX01),Telefonia IP,Up,17992,Disk Free: /common,47 %
21399,10.224.116.80 (CUC-SUB),Telefonia IP,Up,18011,Memory: Physical RAM,53 %
21400,10.224.116.11 (CCUM-SUB1),Telefonia IP,Up,8712,Disk Free: /common,56 %
21401,10.224.116.15 (CUC-PUB),Telefonia IP,Up,17971,Disk Free: /grub,57 %
21402,10.224.116.80 (CUC-SUB),Telefonia IP,Up,18009,Disk Free: /grub,57 %
21403,10.224.116.75 (CCUM-SUB2),Telefonia IP,Up,8722,Disk Free: /common,59 %
21404,10.224.116.80 (CUC-SUB),Telefonia IP,Up,18006,Disk Free: /,61 %
21405,10.224.116.15 (CUC-PUB),Telefonia IP,Up,17969,Disk Free: /,61 %
21406,10.224.116.80 (CUC-SUB),Telefonia IP,Up,18007,Disk Free: /partB,67 %
21407,10.224.116.15 (CUC-PUB),Telefonia IP,Up,17970,Disk Free: /partB,68 %
21408,10.224.116.75 (CCUM-SUB2),Telefonia IP,Up,8724,CPU Load 33,56 %
