device,device_raw,name,name_raw,objid,objid_raw,ip,id_device
CDBUSSWOPIT-RAP35-8,CDBUSSWOPIT-RAP35-8,(10101) CDBUSSWOPIT-TK4000-15 Traffic,(10101) CDBUSSWOPIT-TK4000-15 Traffic,15596,15596,10.224.114.86,7918
CDBUSSWOPIT-TK4000-15,CDBUSSWOPIT-TK4000-15,(10105) CDBUSSWOPIT-SALA-RODF-32 Traffic,(10105) CDBUSSWOPIT-SALA-RODF-32 Traffic,15608,15608,10.224.114.83,12829
CDBUSSWOPIT-TK4000-15,CDBUSSWOPIT-TK4000-15,(10112) CDBUSSWOPIT-RAP35-18 Traffic,(10112) CDBUSSWOPIT-RAP35-18 Traffic,15609,15609,10.224.114.83,12829
CDBUSSWOPIT-TK4000-15,CDBUSSWOPIT-TK4000-15,(10111) LINK CONCENTRADORA 4P Traffic,(10111) LINK CONCENTRADORA 4P Traffic,17572,17572,10.224.114.83,12829
CDBUSSWOPIT-SALA-RODF-32,CDBUSSWOPIT-SALA-RODF-32,(10101) TO CDBUSSWOPIT-TORRESW-14 Traffic,(10101) TO CDBUSSWOPIT-TORRESW-14 Traffic,15684,15684,10.224.114.103,15680
CDBUSSWOPIT-SALA-RODF-32,CDBUSSWOPIT-SALA-RODF-32,(10102) TO TK4000 Traffic,(10102) TO TK4000 Traffic,15685,15685,10.224.114.103,15680
CDBUSSWOPIT-TORRESW-14,CDBUSSWOPIT-TORRESW-14,(10125) CDBUSSWOPIT-ANDENNORTE Traffic,(10125) CDBUSSWOPIT-ANDENNORTE Traffic,15604,15604,10.224.114.82,10966
CDBUSSWOPIT-TORRESW-14,CDBUSSWOPIT-TORRESW-14,(10126) CDBUSSWOPIT-ML23 Traffic,(10126) CDBUSSWOPIT-ML23 Traffic,15605,15605,10.224.114.82,10966
CDBUSSWOPIT-TORRESW-14,CDBUSSWOPIT-TORRESW-14,(10127) CDBUSSWOPIT-RAP03 Traffic,(10127) CDBUSSWOPIT-RAP03 Traffic,15606,15606,10.224.114.82,10966
CDBUSSWOPIT-TORRESW-14,CDBUSSWOPIT-TORRESW-14,(10128) TO CDBUSSWOPIT-SALA-RODF Traffic,(10128) TO CDBUSSWOPIT-SALA-RODF Traffic,15607,15607,10.224.114.82,10966
CDBUSSWOPIT-RAP03-5,CDBUSSWOPIT-RAP03-5,(10277) CDBUSSWOPIT-TORRESW Traffic,(10277) CDBUSSWOPIT-TORRESW Traffic,15583,15583,10.224.114.72,5444
CDBUSSWOPIT-RAP03-5,CDBUSSWOPIT-RAP03-5,(10278) CDBUSSWOPIT-MIRADOR-NUEVO-LINK Traffic,(10278) CDBUSSWOPIT-MIRADOR-NUEVO-LINK Traffic,18452,18452,10.224.114.72,5444
CDBUSSWOPIT-ML23-19,CDBUSSWOPIT-ML23-19,(10277) CDBUSSWOPIT-TORRESW-14 Traffic,(10277) CDBUSSWOPIT-TORRESW-14 Traffic,15611,15611,10.224.114.87,13065
CDBUSSWOPIT-ANDENNORTE-4,CDBUSSWOPIT-ANDENNORTE-4,(10115) CDBUSSWOPIT-DEWATERING Traffic,(10115) CDBUSSWOPIT-DEWATERING Traffic,15602,15602,10.224.114.71,12496
CDBUSSWOPIT-ANDENNORTE-4,CDBUSSWOPIT-ANDENNORTE-4,(10116) CDBUSSWOPIT-TORRESW-14 Traffic,(10116) CDBUSSWOPIT-TORRESW-14 Traffic,15603,15603,10.224.114.71,12496
CDBUSSWOPIT-DEWATERING-22,CDBUSSWOPIT-DEWATERING-22,(10278) CDBUSSWOPIT-ANDENNORTE Traffic,(10278) CDBUSSWOPIT-ANDENNORTE Traffic,15612,15612,10.224.114.91,13359
CDBUSSWOPIT-DEWATERING-22,CDBUSSWOPIT-DEWATERING-22,(10279) CDBUSSWOPIT-PIQUEMINA Traffic,(10279) CDBUSSWOPIT-PIQUEMINA Traffic,15613,15613,10.224.114.91,13359
CDBUSSWOPIT-DEWATERING-22,CDBUSSWOPIT-DEWATERING-22,(10277) CDBUSSWOPIT-RAP13 Traffic,(10277) CDBUSSWOPIT-RAP13 Traffic,15670,15670,10.224.114.91,13359
CDBUSSWOPIT-PIQUEMINA-23,CDBUSSWOPIT-PIQUEMINA-23,(10102) CDBUSSWOPIT-DEWATERING-22 Traffic,(10102) CDBUSSWOPIT-DEWATERING-22 Traffic,15628,15628,10.224.114.92,13454
CDBUSSWOPIT-RAP13-6,CDBUSSWOPIT-RAP13-6,(10277) CDBUSSWOPIT-DEWATERING Traffic,(10277) CDBUSSWOPIT-DEWATERING Traffic,15668,15668,10.224.114.73,5446
CDBUSSWOPIT-RAP13-6,CDBUSSWOPIT-RAP13-6,(10278) CDBUSSWOPIT-RAP42 Traffic,(10278) CDBUSSWOPIT-RAP42 Traffic,15669,15669,10.224.114.73,5446
CDBUSSWOPIT-RAP42-RAP-43-8,CDBUSSWOPIT-RAP42-RAP-43-8,CDBUSSWOPIT-PREPARACIONES-24,CDBUSSWOPIT-PREPARACIONES-24,15614,15614,10.224.114.76,13451
CDBUSSWOPIT-RAP42-RAP-43-8,CDBUSSWOPIT-RAP42-RAP-43-8,(10284) CDBUSSWOPIT-RAP33 Traffic,(10284) CDBUSSWOPIT-RAP33 Traffic,15615,15615,10.224.114.76,13451
CDBUSSWOPIT-RAP42-RAP-43-8,CDBUSSWOPIT-RAP42-RAP-43-8,(10283) CDBUSSWOPIT-RAP13 Traffic,(10283) CDBUSSWOPIT-RAP13 Traffic,17753,17753,10.224.114.76,13451
CDBUSSWOPIT-RAP42-RAP-43-8,CDBUSSWOPIT-RAP42-RAP-43-8,(10287) EB-Radwin-42 Traffic,(10287) EB-Radwin-42 Traffic,17754,17754,10.224.114.76,13451
